cod_manzana,atlas_score,ICV,ISAL,ISE,poblacion
0504520020500200010110,0.7415449877761562,0.37437312289040486,0.6947151521952625,0.9812648881110042,36
0504520010301100010115,0.4138621938697428,0.17084436069154346,0.7633167782771093,0.2464316420024547,9
0504520010301100010227,0.48545887070825927,0.19507719727307388,0.8222466941776857,0.353306188307947,6
0504520010101400010108,0.5611361848933543,0.9834693533332519,0.5295972069133094,0.05843195366688736,60
0504520020500200010121,0.606041147012826,0.3825670716247438,0.8405178081794417,0.46760377086087646,36
0504520020300900010117,0.652572859599815,0.7095900306278804,0.33030340404728153,0.7743031965060466,105
0504520020300900010209,0.6425694366919411,0.7301732884380754,0.5431190642291694,0.5143524390713311,60
0504520020300900010212,0.820987702029748,0.7158941769747817,0.8389656738513023,0.7063561553368685,63
0504520010301100010216,0.6167811261469561,0.20029675981341882,0.7144504514844842,0.8044483018894053,75
0504520030101500010112,0.5375713662487719,0.489539379937844,0.12639565203191494,0.8930159632685356,90
0504520020300900010226,0.49049363662968704,0.7112567001783119,0.5346836465374071,0.1380533884245636,42
0504520020300900010205,0.504426959243153,0.7271795152594114,0.4685680029840654,0.22522909249271283,42
0504520020300900010315,0.33492745605327495,0.7105807479000348,0.1796256454473707,0.08087185402346242,84
0504520020500200010113,0.5989625833088943,0.375210191537261,0.879401681159765,0.41728832038885055,48
0504520020500200010309,0.41806349821616956,0.3481841046692551,0.10082906773863776,0.742731027380883,60
0504520020300900010119,0.557838342797754,0.7082563813674619,0.05183421303470559,0.8026545383300647,189
0504520050300100010102,0.7557912314518787,0.5746777073583431,0.626117283452819,0.8873716266623115,48
0504520020500200010123,0.4563907533470645,0.3812961877014467,0.436508722222297,0.47567038070108203,21
0504520010301100010234,0.48350385278413877,0.1978827416933251,0.7721459784053015,0.3954122036575023,3
0504520010301100010225,0.3365449197018139,0.1802194500161235,0.7289976469658632,0.06615434437816015,0
0504520030101500010115,0.6400123788854964,0.48464642632320315,0.3892345180638328,0.9069767116933234,60
0504520010101600010114,0.6820197058567113,0.7906851768716503,0.94718743669174,0.15448405754670824,45
0504520020500200010119,0.5960268106249329,0.37420133281591017,0.6554114365518084,0.6344950744730561,36
0504520010301100010114,0.6135775812681096,0.1756958249930084,0.7283764978280999,0.8066200999686673,18
0504520010101400010106,0.5547891144344197,0.9806071685324818,0.5038479625527357,0.07019650978200032,42
0504520010301100010218,0.3501099749310234,0.19350246335046548,0.47897780680923663,0.3388965637339255,66
0504520020300900010126,0.47626799368815415,0.7119126977069273,0.09313622543318656,0.5411860377455588,33
0504520020300900010323,0.49048271190131626,0.7206822442128837,0.6393108615079305,0.023971632181590263,15
0504520020500200010102,0.4297850915607838,0.3645111817603255,0.047522652741290194,0.8108227022706396,63
0504520020300900010308,0.583661059428458,0.7082624594571579,0.7361581832150151,0.18686509183861333,120
0504520010301100010113,0.11779172798684073,0.17359813252851136,0.19152598041542457,0.029616110734954293,54
0504520020300900010303,0.6508992228544733,0.7038248255629708,0.7913760469461519,0.31455346581324595,51
0504520020300900010301,0.743483570452914,0.7023849265060261,0.9830932597989512,0.370020509221336,156
0504520050300100010104,0.7280312615672941,0.5837038832955913,0.6152147660680477,0.8155653626560919,0
0504520020300900010310,0.6331608498966592,0.7074241703349986,0.3719732825925387,0.6832743582351831,27
0504520010301100010231,0.36580421216366943,0.20335148553175253,0.5355969608060536,0.3140852155249564,33
0504520010301100010232,0.08879508311160238,0.20086793245422385,0.02465738580788468,0.09224982394488379,93
0504520030101500010101,0.5979851140191363,0.47567101593891964,0.8685401121444448,0.32509459230244,57
0504520050300100010110,0.6765503869274851,0.5704039675892569,0.8171568291144174,0.49027879566180166,12
0504520020300900010120,0.6437082597924904,0.7147017985247698,0.37159623298867683,0.7043695103775336,81
0504520010301100010112,0.27510487894472446,0.17280065044823184,0.23850925022521818,0.40098275130081806,69
0504520020300900010306,0.3835545572873528,0.7049129417393933,0.1278984987968047,0.26733652591168644,111
0504520020500200010301,0.34067494426682426,0.3395423681969453,0.23686343762315565,0.409927858186653,54
0504520020300900010223,0.5741861549055847,0.7092886056583356,0.47629383190478813,0.4205542908581986,63
0504520020300900010206,0.8893463745943874,0.7199823914926226,0.7932288051773623,0.9294475531581523,45
0504520010101600010106,0.6700319600970668,0.802754013417604,0.2722336222178946,0.785550256680529,9
0504520050300100010108,0.6005307394779461,0.5619730768072361,0.4024168686620275,0.7116725659755484,30
0504520030101500010114,0.6091168788161527,0.48581949989029005,0.9444429510497893,0.26859003901905587,96
0504520010101600010110,0.7241761237227371,0.7885014311239213,0.7367032293078281,0.4790467540040758,30
