cod_manzana,score_accesibilidad,score_ambiental,score_socioeconomico,score_seguridad,atlas_score,municipio,moran_i,lisa_q,lisa_p,zona_atlas,quintil
0504520020500200010110,0.1,0.21438222799334053,0.6512807120048106,1.0,0.6896049968417741,Apartadó,0.777,4,0.001,HL,Q3-Medio
0504520010301100010115,0.14225563909774436,0.1915936725191647,0.0,0.5,0.24934565022967797,Apartadó,0.777,3,0.001,LL,Q1-Crítico
0504520010301100010227,0.1,0.19487130133305058,0.0,1.0,0.4286766238781668,Apartadó,0.777,3,0.001,LL,Q1-Crítico
0504520010101400010108,0.1,0.19849276177017808,0.5988276965919729,1.0,0.6630207469649211,Apartadó,0.777,4,0.001,HL,Q3-Medio
0505110000000000010139,0.2642809150535914,1.0,0.0,0.5,0.6112702635444576,Arboletes,0.777,3,0.001,LL,Q2-Bajo
0505110000000000010531,0.2579203327467605,0.9929644261353692,0.5828282268062913,0.5,0.8327712112899087,Arboletes,0.777,4,0.001,HL,Q5-Óptimo
0505110000000000010538,0.2579203327467605,0.9923358711167476,0.577990825773356,0.5,0.8306450324036282,Arboletes,0.777,4,0.001,HL,Q5-Óptimo
0514710000000000020412,0.10315789473684212,0.3518669271660691,0.6107805969141379,1.0,0.7285589917287069,Carepa,0.777,4,0.001,HL,Q4-Alto
0549020120301300010103,0.1,0.451544695626967,0.646977209710061,1.0,0.7801838106695311,Necoclí,0.777,4,0.001,HL,Q5-Óptimo
0565910000000000010103,0.14777155655095184,0.8578774126055564,0.5889028550141486,1.0,0.934233796402522,San Juan de Urabá,0.777,4,0.001,HL,Q5-Óptimo
0565920010100100010125,0.1,0.8260424460343992,0.0,1.0,0.6741931902090179,San Juan de Urabá,0.777,1,0.02,HH,Q3-Medio
0566510000000000010158,0.20470004799232125,0.38691742721433764,0.6064329255527137,1.0,0.7800004021187964,San Pedro de Urabá,0.777,1,0.111,NS,Q5-Óptimo
0566510000000000010201,0.20470004799232125,0.3793790146063398,0.615862457290306,1.0,0.7807360204675096,San Pedro de Urabá,0.777,4,0.001,HL,Q5-Óptimo
0566510000000000010824,0.20470004799232125,0.3843435744416216,0.6640480760202104,1.0,0.8014106812956288,San Pedro de Urabá,0.777,4,0.001,HL,Q5-Óptimo
0566510000000000010866,0.20470004799232125,0.3828231153462164,0.5567697927747637,1.0,0.7590895234529644,San Pedro de Urabá,0.777,4,0.24,NS,Q4-Alto
0566510000000000010907,0.11533834586466166,0.38435738816114307,0.5889729678120649,1.0,0.737452482487031,San Pedro de Urabá,0.777,4,0.001,HL,Q4-Alto
0583720090700100010417,0.1,0.0442712452438579,0.6539464407569068,1.0,0.6244711830498147,Turbo,0.777,3,0.001,LL,Q2-Bajo
0583720090600300010344,0.1,0.0,0.6378945495900402,1.0,0.6010063440022748,Turbo,0.777,3,0.001,LL,Q2-Bajo
0583720080301000010109,0.1,0.06834452116124201,0.550233944149246,1.0,0.5934926629237188,Turbo,0.777,3,0.001,LL,Q2-Bajo
0583720020101300010122,0.1,0.39503021649534664,0.0,1.0,0.5065355849281175,Turbo,0.777,3,0.001,LL,Q2-Bajo
0583720050202800010107,0.1,0.2768968458363631,0.6006432320137515,1.0,0.6942250339390531,Turbo,0.777,4,0.001,HL,Q3-Medio
0583720030802900010113,0.1,0.1799686256427504,0.6434404427140679,1.0,0.6731688438796909,Turbo,0.777,4,0.001,HL,Q3-Medio
